v1,v2
ham,Hello how are you?
spam,Win a free iPhone now!
ham,See you at the meeting tomorrow.
spam,Click here to claim your prize.
ham,I will call you back later.
spam,Congratulations! You've been selected for a gift card.
ham,Can we meet for lunch today?
spam,Urgent: Your account has been suspended. Click to verify.
ham,The weather is nice today.
spam,Earn $1000 a day from home!
ham,Did you finish the report?
spam,Get 50% off on all items!
ham,Happy Birthday! Have a great day.
spam,You have a new message from a secret admirer. Click to see.
ham,I'm heading home now.
spam,Your loan has been approved. Claim your cash.
ham,Let's grab a coffee.
spam,Exclusive offer just for you!
ham,How was your weekend?
spam,Double your money in one week.
ham,Please send me the documents.
spam,Invest in Bitcoin now for huge returns!
ham,I'll be there in 10 minutes.
spam,Final notice: Pay your bill to avoid disconnection.
ham,Are you coming to the party?
spam,Free entry into the lottery.
ham,Thanks for the help.
spam,Upgrade your membership for free.
ham,What time is the flight?
spam,You've won a trip to Hawaii!
